"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"RNF208","Gene","down-regulates-quantity-by-destabilization","VIM","Gene","SIGNOR","Signalling-Networks","31862882"
"ESRRA","Gene","up-regulates-quantity-by-expression","RNF208","Gene","SIGNOR","Signalling-Networks","31862882"
"DNMT1","Gene","down-regulates-quantity-by-repression","FOXP3","Gene","SIGNOR","Signalling-Networks","32905139"
"FOXP2","Gene","down-regulates-quantity-by-repression","MET","Gene","SIGNOR","Signalling-Networks","21832174"
"CNTNAP2","Gene","up-regulates-activity","CNTN1","Gene","SIGNOR","Signalling-Networks","11069942"
"ASH1L","Gene","down-regulates-quantity-by-repression","NRXN1","Gene","SIGNOR","Signalling-Networks","27229316"
"KHDRBS1","Gene","up-regulates-activity","NRXN1","Gene","SIGNOR","Signalling-Networks","22196734"
"ASH1L","Gene","up-regulates-quantity-by-expression","NTRK2","Gene","SIGNOR","Signalling-Networks","35210569"
"DEAF1","Gene","up-regulates-quantity-by-expression","RAC3","Gene","SIGNOR","Signalling-Networks","18826651"
"RAC3","Gene","up-regulates-activity","CIB1","Gene","SIGNOR","Signalling-Networks","11756406"
"CIB1","Gene","up-regulates-activity","ITGA2B","Gene","SIGNOR","Signalling-Networks","11756406"
"DEAF1","Gene","up-regulates-quantity-by-expression","EN1","Gene","SIGNOR","Signalling-Networks","31145909"
"MECP2","Gene","up-regulates-activity","DEAF1","Gene","SIGNOR","Signalling-Networks","29636529"
"STOX1","Gene","down-regulates-quantity-by-repression","CNTNAP2","Gene","SIGNOR","Signalling-Networks","22728895"
"ASH1L","Gene","up-regulates-activity","H3C1","Gene","SIGNOR","Signalling-Networks","21239497"
"LZTR1","Gene","down-regulates-activity","KRAS","Gene","SIGNOR","Signalling-Networks","30442762"
"LZTR1","Gene","down-regulates-quantity","KRAS","Gene","SIGNOR","Signalling-Networks","31337872"
"CUL3","Gene","up-regulates-activity","LZTR1","Gene","SIGNOR","Signalling-Networks","31337872"
"CNTNAP1","Gene","up-regulates-activity","CNTN1","Gene","SIGNOR","Signalling-Networks","11069942"
"EFR3A","Gene","up-regulates-quantity","PI4KA","Gene","SIGNOR","Signalling-Networks","34504076"
"PRKN","Gene","down-regulates-quantity-by-destabilization","PHGDH","Gene","SIGNOR","Signalling-Networks","32478681"
"GGNBP2","Gene","down-regulates-activity","ESR1","Gene","SIGNOR","Signalling-Networks","27357812"
"KIRREL3","Gene","up-regulates-activity","CASK","Gene","SIGNOR","Signalling-Networks","33853164"
"KIRREL3","Gene","up-regulates-activity","DLG4","Gene","SIGNOR","Signalling-Networks","28381988"
"HAP1","Gene","up-regulates-activity","AHI1","Gene","SIGNOR","Signalling-Networks","23532844"
"PAX5","Gene","down-regulates-activity","BZLF1","Gene","SIGNOR","Signalling-Networks","23678172"
"PAX5","Gene","down-regulates-activity","TLE4","Gene","SIGNOR","Signalling-Networks","10811620"
"SYK","Gene","down-regulates-activity","PAX5","Gene","SIGNOR","Signalling-Networks","27181361"
"PAX5","Gene","down-regulates-quantity","PRDM1","Gene","SIGNOR","Signalling-Networks","9120274"
"MAPK3","Gene","down-regulates-activity","PAX5","Gene","SIGNOR","Signalling-Networks","22593617"
"MAPK1","Gene","down-regulates-activity","PAX5","Gene","SIGNOR","Signalling-Networks","22593617"
"SETD2","Gene","up-regulates-activity","TUBA1B","Gene","SIGNOR","Signalling-Networks","27518565"
"SETD2","Gene","up-regulates-activity","STAT1","Gene","SIGNOR","Signalling-Networks","28753426"
"SETD2","Gene","up-regulates-activity","H3C1","Gene","SIGNOR","Signalling-Networks","16118227"
"NFIX","Gene","down-regulates-quantity","ANOS1","Gene","SIGNOR","Signalling-Networks","31838646"
"CHD8","Gene","down-regulates-quantity","ASCL1","Gene","SIGNOR","Signalling-Networks","32839322"
"EFR3B","Gene","up-regulates-quantity","PI4KA","Gene","SIGNOR","Signalling-Networks","34504076"
"EFR3A","Gene","up-regulates-quantity","KRAS","Gene","SIGNOR","Signalling-Networks","34504076"
"ADA","Gene","up-regulates-activity","ADORA1","Gene","SIGNOR","Signalling-Networks","18680557"
"OFD1","Gene","down-regulates-quantity-by-destabilization","ATG13","Gene","SIGNOR","Signalling-Networks","34027042"
"EIF2B4","Gene","up-regulates-activity","EIF2S3","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF5","Gene","up-regulates-activity","EIF5B","Gene","SIGNOR","Signalling-Networks","30211544"
"EIF2B5","Gene","up-regulates-activity","EIF2S1","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B1","Gene","up-regulates-activity","EIF2S1","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B2","Gene","up-regulates-activity","EIF2S1","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B3","Gene","up-regulates-activity","EIF2S1","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B4","Gene","up-regulates-activity","EIF2S1","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B5","Gene","up-regulates-activity","EIF2S2","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B1","Gene","up-regulates-activity","EIF2S2","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B2","Gene","up-regulates-activity","EIF2S2","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B3","Gene","up-regulates-activity","EIF2S2","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B4","Gene","up-regulates-activity","EIF2S2","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B5","Gene","up-regulates-activity","EIF2S3","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B1","Gene","up-regulates-activity","EIF2S3","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B2","Gene","up-regulates-activity","EIF2S3","Gene","SIGNOR","Signalling-Networks","15054402"
"EIF2B3","Gene","up-regulates-activity","EIF2S3","Gene","SIGNOR","Signalling-Networks","15054402"
"PPP1R9A","Gene","up-regulates-activity","ARHGEF2","Gene","SIGNOR","Signalling-Networks","15996550"
"GFAP","Gene","up-regulates-quantity","ACTB","Gene","SIGNOR","Signalling-Networks","31626364"
"PPP1R9B","Gene","up-regulates-activity","SPATA13","Gene","SIGNOR","Signalling-Networks","19151759"
"PPP1R9B","Gene","up-regulates-quantity","TIAM1","Gene","SIGNOR","Signalling-Networks","12531897"
"PPP1R9B","Gene","up-regulates-activity","ARHGEF2","Gene","SIGNOR","Signalling-Networks","15996550"
"SYN1","Gene","up-regulates-activity","RAB3A","Gene","SIGNOR","Signalling-Networks","15265865"
"SYN2","Gene","up-regulates-activity","ACTB","Gene","SIGNOR","Signalling-Networks","15265865"
"SYN3","Gene","up-regulates-activity","ACTB","Gene","SIGNOR","Signalling-Networks","15265865"
"SYN1","Gene","up-regulates-activity","ACTB","Gene","SIGNOR","Signalling-Networks","15265865"
"DDX3X","Gene","up-regulates-activity","PABPC1","Gene","SIGNOR","Signalling-Networks","21883093"
"AKT2","Gene","down-regulates-activity","RALGAPA2","Gene","SIGNOR","Signalling-Networks","21148297"
"MYBL2","Gene","up-regulates-quantity-by-expression","CLU","Gene","SIGNOR","Signalling-Networks","10770937"
"ZMYM2","Gene","up-regulates-activity","MYBL2","Gene","SIGNOR","Signalling-Networks","32439918"
"ZMYM2","Gene","down-regulates-activity","NANOG","Gene","SIGNOR","Signalling-Networks","31363497"
"SBF1","Gene","up-regulates-activity","MTMR2","Gene","SIGNOR","Signalling-Networks","12668758"
"DDX3X","Gene","down-regulates-activity","EIF4E","Gene","SIGNOR","Signalling-Networks","17667941"
"DDX3X","Gene","up-regulates-activity","SP1","Gene","SIGNOR","Signalling-Networks","33627125"
"PAM","Gene","up-regulates-activity","Oxytocin","Gene","SIGNOR","Signalling-Networks","23084901"
"ASTN2","Gene","down-regulates-quantity","ASTN1","Gene","SIGNOR","Signalling-Networks","20573900"
"PHF7","Gene","form-complex","SMARCD3","Gene","SIGNOR","Signalling-Networks","33941892"
"SOX17","Gene","up-regulates","GLI2","Gene","SIGNOR","Signalling-Networks","33083751"
"GLI2","Gene","up-regulates-quantity","OLIG2","Gene","SIGNOR","Signalling-Networks","NBK6142"
